inverter_id,group_id,r2,mae_kw,rmse_kw,n_samples,success,error_message
INV 01.056,INV 01,0.9762037005769505,0.020780605937375844,0.036938328894980096,8503,True,
INV 01.057,INV 01,0.9734655257461459,0.02388047048771887,0.038857680480093824,8510,True,
INV 01.058,INV 01,0.9736956897185067,0.0208739864565533,0.03888588463528346,8555,True,
INV 01.059,INV 01,0.976633070822026,0.020390957612755688,0.03684035992984785,8393,True,
INV 01.060,INV 01,0.9673305874467679,0.02157466526836473,0.04284824550075491,8618,True,
INV 02.001,INV 02,0.9727430099515822,0.02458144592578496,0.0393204607778252,8164,True,
INV 02.002,INV 02,0.971378402704657,0.023943176936763535,0.04027405690036646,8180,True,
INV 02.003,INV 02,0.9755092271448599,0.021669282194693933,0.03711704104951444,8478,True,
INV 02.004,INV 02,0.9760006500125707,0.021755036450770683,0.03708305891621076,8247,True,
INV 02.005,INV 02,0.9759211553939031,0.021896405810929175,0.037140720358830814,8225,True,
INV 02.006,INV 02,0.9748286345413683,0.022391793880227547,0.038167299471707085,8223,True,
INV 02.007,INV 02,0.9733891062923161,0.022744429303213447,0.03941062055348211,8189,True,
INV 02.008,INV 02,0.9730153096889445,0.023303922342921325,0.03919701654337697,8431,True,
INV 02.009,INV 02,0.9755493106662324,0.021643526848338354,0.037671021560103435,8256,True,
INV 02.010,INV 02,0.975648965498137,0.022264758625897083,0.037812702447122766,8395,True,
INV 02.011,INV 02,0.9736595555359394,0.020993721808212813,0.038020839006681774,8402,True,
INV 02.012,INV 02,0.9740214399222243,0.022286844795514602,0.03888627408612593,8060,True,
INV 02.013,INV 02,0.9762876090700271,0.021300893983747533,0.03719042194816618,8270,True,
INV 02.014,INV 02,0.9748635318485519,0.020833131050332927,0.03780578858730873,8240,True,
INV 02.015,INV 02,0.9753659852978503,0.020357007714172023,0.03736829542164141,8368,True,
INV 02.016,INV 02,0.9747191882870138,0.021502706688526208,0.03764644657574236,8218,True,
INV 02.017,INV 02,0.9775482529907726,0.01984144275308478,0.03562209924669232,8334,True,
INV 02.018,INV 02,0.9731368593817176,0.02308759705555851,0.03871141887460459,8243,True,
