inverter_id,group_id,success,training_samples,r2,mae_kw,rmse_kw,processing_time_s,error
INV 04.106,INV 04,True,13345,0.9915366750463162,0.0158552360528389,0.02060762930729689,3.656435012817383,
INV 02.035,INV 02,True,13276,0.991459758193405,0.016441053731805773,0.021167224463093503,3.3178889751434326,
INV 04.108,INV 04,True,12988,0.991446008186497,0.016556461351518854,0.020711100286068988,3.2216508388519287,
INV 03.061,INV 03,True,13722,0.9914130495977523,0.016659721202185413,0.0208172202657874,3.7427282333374023,
INV 01.004,INV 01,True,12188,0.9914069268566463,0.015514552837575461,0.020507080926961314,3.7196907997131348,
INV 01.020,INV 01,True,13479,0.9913247885474483,0.01699456118341874,0.02121580560911441,3.3271138668060303,
INV 02.058,INV 02,True,11124,0.9913101272334075,0.015765396826824794,0.020681141034028943,3.239250898361206,
INV 04.111,INV 04,True,13054,0.9913036482827325,0.016629368521729783,0.02109370714592889,3.196607828140259,
INV 01.025,INV 01,True,13629,0.9912978963618819,0.0170332501373795,0.02134026522946105,3.357069730758667,
INV 01.002,INV 01,True,12491,0.9912810760102161,0.015626220514511933,0.02081095914782013,3.7639050483703613,
INV 03.062,INV 03,True,13621,0.9912809526103133,0.016611765436111665,0.020918430795571447,3.8162169456481934,
INV 01.005,INV 01,True,12234,0.9911225094106898,0.015526446985748822,0.020805679319846712,3.6578900814056396,
INV 04.103,INV 04,True,13324,0.991120852286163,0.016365895588664935,0.02097079815742503,3.761306047439575,
INV 02.051,INV 02,True,11458,0.9910892537228103,0.01520196719843875,0.021068002640506945,3.4311506748199463,
INV 02.038,INV 02,True,13172,0.9910796057706708,0.016849768535493935,0.02172060827915883,3.2868902683258057,
INV 02.059,INV 02,True,11185,0.9909710579542036,0.01592910427178229,0.02104822485843116,1.9272420406341553,
INV 01.028,INV 01,True,13683,0.9909291408693355,0.016918360879012162,0.02156494236485766,3.228438138961792,
INV 01.001,INV 01,True,12483,0.9908571189700112,0.01637097329489507,0.021440978276061583,3.770156145095825,
INV 02.057,INV 02,True,10817,0.9908354152390589,0.015617198642218626,0.02092247151740881,3.281517744064331,
INV 02.055,INV 02,True,10725,0.9908063372252267,0.01549747170038369,0.020912503538002593,3.2889599800109863,
INV 02.052,INV 02,True,10738,0.990800504709199,0.01518486715975511,0.02047506574763845,3.304429769515991,
INV 03.088,INV 03,True,13704,0.990745906874138,0.01790026709164608,0.021826128531299824,3.1948421001434326,
INV 02.056,INV 02,True,10832,0.9906806594801573,0.015764234554766273,0.021248607446379127,3.285370111465454,
INV 01.026,INV 01,True,13666,0.9906356146161366,0.017686700039502096,0.02232219858040884,3.2041149139404297,
INV 02.053,INV 02,True,10880,0.9904957574365728,0.01605519214025574,0.021511927008599233,3.1753249168395996,
INV 03.073,INV 03,True,13760,0.9902148018422375,0.018764235519554466,0.023013456424781198,3.443701982498169,
