inverter_id,group_id,r2,mae_kw,rmse_kw,n_samples,success,error_message
INV 04.098,INV 04,0.9954903480977593,0.010630771611689833,0.016052833766236365,60921,True,
INV 04.099,INV 04,0.9957932211742048,0.010072578949439975,0.015379794220129105,55584,True,
INV 04.100,INV 04,0.9949718522230628,0.011318176925832521,0.016894459518283313,57739,True,
INV 04.101,INV 04,0.9945804218329547,0.012113283159819903,0.018016832944029115,53342,True,
INV 04.102,INV 04,0.9953170516393504,0.011164774646732737,0.01670582057090993,55705,True,
INV 04.103,INV 04,0.9950725610187533,0.011079519623213338,0.017015568879138927,51577,True,
INV 04.104,INV 04,0.9942888995012487,0.012355141093590092,0.01798823038413191,54509,True,
INV 04.105,INV 04,0.9950676687381661,0.01123944694878521,0.016898980700815792,54933,True,
INV 04.106,INV 04,0.9950184079771451,0.01131533765033196,0.016913551380838984,56190,True,
INV 04.107,INV 04,0.9945087022328201,0.012431696760942681,0.017810185147766507,55527,True,
INV 04.109,INV 04,0.9943561730405983,0.012045724102234931,0.017379867122736696,56980,True,
INV 04.110,INV 04,0.9951261128743796,0.011106662972364598,0.016373868150637478,57729,True,
INV 04.111,INV 04,0.9950267120842285,0.011050947547666081,0.016590576862483445,58299,True,
INV 04.112,INV 04,0.994303800714603,0.01210232724189715,0.01771844025028322,57462,True,
INV 04.113,INV 04,0.9951624628099877,0.010974637016653641,0.016519170022799567,59189,True,
INV 04.114,INV 04,0.9950015581398648,0.011261574428043694,0.01671968859914503,59985,True,
INV 04.115,INV 04,0.9950364285272835,0.011126148251877082,0.016609864206575266,59636,True,
INV 04.116,INV 04,0.9953788207634365,0.010741711368988383,0.016204354784199054,60420,True,
INV 04.117,INV 04,0.9955378107874311,0.010588034817971742,0.016024959674229986,61099,True,
INV 04.118,INV 04,0.9954248602688136,0.010699514274509271,0.016038066363194495,60131,True,
INV 04.119,INV 04,0.9958531599899241,0.010197985387528105,0.015455589859220863,61625,True,
INV 04.120,INV 04,0.995650209833787,0.010368156873876901,0.015873330012176452,60728,True,
INV 05.121,INV 05,0.9964775407073554,0.009954697150261253,0.014542665502223126,62319,True,
INV 05.122,INV 05,0.997083153973789,0.008709434446960738,0.013104816272893368,64373,True,
INV 05.123,INV 05,0.997028342808367,0.008976820758035372,0.013244759809727696,64340,True,
INV 05.124,INV 05,0.9972537900215281,0.00838161501695315,0.012790387602276552,64450,True,
INV 05.125,INV 05,0.9974050413598272,0.00808086626073957,0.012431679204295314,64396,True,
INV 05.126,INV 05,0.997393357602153,0.008083471059586254,0.012484114703629208,64414,True,
INV 05.127,INV 05,0.9974435963917185,0.007993920793953375,0.012363175942580087,64245,True,
INV 05.128,INV 05,0.9977047111207221,0.007791078238410251,0.011706163402417383,64417,True,
INV 05.129,INV 05,0.9961830325646385,0.010127676495345045,0.014643843365839933,62077,True,
INV 05.130,INV 05,0.9973377280584634,0.008483235839149384,0.012703365660212408,64004,True,
INV 05.131,INV 05,0.9974761161065886,0.008052427880541247,0.012265569769612334,64602,True,
INV 05.132,INV 05,0.9974177119959607,0.008073754207886051,0.01246736442058474,64669,True,
INV 05.133,INV 05,0.9974393075112612,0.008115754113472895,0.0124019715201431,64576,True,
INV 05.134,INV 05,0.9973037820826062,0.008186925231613297,0.012608265477473244,64489,True,
INV 05.135,INV 05,0.9960883542037994,0.010667638021611145,0.0146530203413082,63448,True,
INV 05.136,INV 05,0.9962145721426556,0.01041243466574784,0.014390966772264707,62717,True,
INV 05.137,INV 05,0.9969302486038973,0.008645025771663137,0.013429850907646174,61908,True,
INV 05.138,INV 05,0.9956397963025395,0.011174185452729815,0.015558896791591247,62030,True,
INV 05.139,INV 05,0.9969503692677897,0.009007758002344433,0.013549515971878102,60203,True,
INV 05.140,INV 05,0.9967842589205202,0.009343059969656035,0.014012591118737847,62126,True,
INV 05.141,INV 05,0.9969785065025977,0.00881825846468878,0.013385499109983956,64352,True,
INV 05.142,INV 05,0.9973187979126875,0.008333988311262775,0.012742889148512983,63153,True,
INV 05.143,INV 05,0.9973537413165223,0.008237709854925113,0.012570187489799491,61573,True,
INV 05.148,INV 05,0.9963873175451591,0.009684447577842363,0.014316201450729331,54792,True,
INV 01.007,INV 01,0.9942528490664508,0.012272847530869727,0.018508832261714837,54994,True,
INV 01.008,INV 01,0.9944047818497516,0.012228512389422932,0.018461199944815068,54800,True,
INV 01.009,INV 01,0.9943700018559971,0.01193506942938628,0.01827454107309781,56227,True,
INV 02.051,INV 02,0.9938614797545157,0.013002674299556845,0.019441294158179103,45732,True,
INV 03.077,INV 03,0.9951911637705938,0.011059856992856389,0.017105903485928164,58205,True,
INV 04.108,INV 04,0.9950807961739491,0.011118230845504128,0.016650877289960217,57897,True,
INV 01.006,INV 01,0.9939671505699237,0.012494053565514735,0.01885177265726397,53034,True,
INV 02.048,INV 02,0.9942784938671373,0.012554212997066322,0.018747943724015347,49411,True,
INV 05.144,INV 05,0.9971443294372592,0.008285845265810483,0.012834017548249909,61652,True,
INV 05.145,INV 05,0.996729991518673,0.009376062783021983,0.013622600430806566,60359,True,
INV 05.150,INV 05,0.9956155651823358,0.010580594859891924,0.0158928435161508,58290,True,
INV 01.001,INV 01,0.9940197334136806,0.01271729720763204,0.019139367845549655,53036,True,
INV 01.002,INV 01,0.9939131259290018,0.012566786315045281,0.019010481110207655,49429,True,
INV 01.003,INV 01,0.993553880660002,0.013062157944025467,0.01956366534000021,52670,True,
INV 01.004,INV 01,0.9941203608842362,0.012502986414026175,0.018843015751932674,51357,True,
INV 01.005,INV 01,0.9939101118814371,0.012800949506713153,0.019109925486999878,51573,True,
